patient,mechanism,rate,n_runs,green_green,green_yellow,green_red,yellow_green,yellow_yellow,yellow_red,red_green,red_yellow,red_red,precision_warning,precision_alert,recall_warning,recall_alert,recall_both,accuracy
P271946,MNAR,10pct,5,795,0,0,20,40,0,5,35,120,0.6666666666666666,0.75,0.5333333333333333,1.0,0.15625,0.7272727272727273
P111019,MNAR,15pct,5,650,0,0,5,15,10,0,0,240,0.5,1.0,1.0,0.96,0.0196078431372549,0.9444444444444444
P182427,MNAR,15pct,5,960,5,0,25,70,0,30,25,90,0.7368421052631579,0.6206896551724138,0.7,1.0,0.34375,0.6530612244897959
P230742,MNAR,15pct,5,895,15,0,25,15,0,10,20,40,0.375,0.5714285714285714,0.3,1.0,0.6363636363636364,0.44
P261190,MNAR,15pct,5,1155,0,10,25,5,20,25,15,130,0.1,0.7647058823529411,0.25,0.8125,0.37037037037037035,0.5869565217391305
P271946,MNAR,15pct,5,795,0,0,40,20,0,20,35,105,0.3333333333333333,0.65625,0.36363636363636365,1.0,0.48,0.5681818181818182
P111019,MNAR,20pct,5,650,0,0,5,15,10,5,15,220,0.5,0.9166666666666666,0.5,0.9565217391304348,0.0425531914893617,0.8703703703703703
P182427,MNAR,20pct,5,920,45,0,45,45,5,35,50,60,0.47368421052631576,0.41379310344827586,0.32142857142857145,0.9230769230769231,0.7619047619047619,0.3684210526315789
P230742,MNAR,20pct,5,910,0,0,30,10,0,10,30,30,0.25,0.42857142857142855,0.25,1.0,1.0,0.36363636363636365
P261190,MNAR,20pct,5,1160,0,0,30,15,5,30,25,115,0.3,0.6764705882352942,0.375,0.9583333333333334,0.46153846153846156,0.5909090909090909
P271946,MNAR,20pct,5,790,5,0,50,10,0,30,50,80,0.16666666666666666,0.5,0.15384615384615385,1.0,0.8888888888888888,0.4
P111019,MNAR,25pct,5,645,5,0,10,10,10,20,25,195,0.3333333333333333,0.8125,0.25,0.9512195121951219,0.14634146341463414,0.7454545454545455
P182427,MNAR,25pct,5,960,5,0,85,5,5,45,55,45,0.05263157894736842,0.3103448275862069,0.07692307692307693,0.9,2.6,0.20408163265306123
P230742,MNAR,25pct,5,910,0,0,35,5,0,15,25,30,0.125,0.42857142857142855,0.16666666666666666,1.0,1.4285714285714286,0.3181818181818182
P261190,MNAR,25pct,5,1155,5,0,30,20,0,40,5,125,0.4,0.7352941176470589,0.6666666666666666,1.0,0.4827586206896552,0.6444444444444445
P271946,MNAR,25pct,5,795,0,0,50,10,0,50,35,75,0.16666666666666666,0.46875,0.2222222222222222,1.0,1.1764705882352942,0.38636363636363635
